paper_id,title,chunk_id,chunk_text
41,Human-in-the-loop Machine Learning: A Macro-Micro Perspective,41_4,"Finally, we analyze current research gaps and point out future
research directions."
42,Can Machines Learn the True Probabilities?,42_0,"When there exists uncertainty, AI machines are designed to make decisions so
as to reach the best expected outcomes."
42,Can Machines Learn the True Probabilities?,42_1,"Expectations are based on true facts
about the objective environment the machines interact with, and those facts can
be encoded into AI models in the form of true objective probability functions."
42,Can Machines Learn the True Probabilities?,42_2,"Accordingly, AI models involve probabilistic machine learning in which the
probabilities should be objectively interpreted."
42,Can Machines Learn the True Probabilities?,42_3,"We prove under some basic
assumptions when machines can learn the true objective probabilities, if any,
and when machines cannot learn them."
43,On-the-Fly Learning in a Perpetual Learning Machine,43_0,"Despite the promise of brain-inspired machine learning, deep neural networks
(DNN) have frustratingly failed to bridge the deceptively large gap between
learning and memory."
43,On-the-Fly Learning in a Perpetual Learning Machine,43_1,"Here, we introduce a Perpetual Learning Machine; a new
type of DNN that is capable of brain-like dynamic 'on the fly' learning because
it exists in a self-supervised state of Perpetual Stochastic Gradient Descent."
43,On-the-Fly Learning in a Perpetual Learning Machine,43_2,"Thus, we provide the means to unify learning and memory within a machine
learning framework. We also explore the elegant duality of abstraction and
synthesis: the Yin and Yang of deep learning."
44,Scientific Machine Learning Benchmarks,44_0,"The breakthrough in Deep Learning neural networks has transformed the use of
AI and machine learning technologies for the analysis of very large
experimental datasets."
44,Scientific Machine Learning Benchmarks,44_1,"These datasets are typically generated by large-scale
experimental facilities at national laboratories."
44,Scientific Machine Learning Benchmarks,44_2,"In the context of science,
scientific machine learning focuses on training machines to identify patterns,
trends, and anomalies to extract meaningful scientific insights from such
datasets."
44,Scientific Machine Learning Benchmarks,44_3,"With a new generation of experimental facilities, the rate of data
generation and the scale of data volumes will increasingly require the use of
more automated data analysis."
44,Scientific Machine Learning Benchmarks,44_4,"At present, identifying the most appropriate
machine learning algorithm for the analysis of any given scientific dataset is
still a challenge for scientists."
44,Scientific Machine Learning Benchmarks,44_5,"This is due to many different machine
learning frameworks, computer architectures, and machine learning models."
44,Scientific Machine Learning Benchmarks,44_6,"Historically, for modelling and simulation on HPC systems such problems have
been addressed through benchmarking computer applications, algorithms, and
architectures."
44,Scientific Machine Learning Benchmarks,44_7,"Extending such a benchmarking approach and identifying metrics
for the application of machine learning methods to scientific datasets is a new
challenge for both scientists and computer scientists."
44,Scientific Machine Learning Benchmarks,44_8,"In this paper, we
describe our approach to the development of scientific machine learning
benchmarks and review other approaches to benchmarking scientific machine
learning."
45,Some Insights into Lifelong Reinforcement Learning Systems,45_0,"A lifelong reinforcement learning system is a learning system that has the
ability to learn through trail-and-error interaction with the environment over
its lifetime."
45,Some Insights into Lifelong Reinforcement Learning Systems,45_1,"In this paper, I give some arguments to show that the traditional
reinforcement learning paradigm fails to model this type of learning system."
45,Some Insights into Lifelong Reinforcement Learning Systems,45_2,"Some insights into lifelong reinforcement learning are provided, along with a
simplistic prototype lifelong reinforcement learning system."
46,Bayesian Optimization for Machine Learning : A Practical Guidebook,46_0,"The engineering of machine learning systems is still a nascent field; relying
on a seemingly daunting collection of quickly evolving tools and best
practices."
46,Bayesian Optimization for Machine Learning : A Practical Guidebook,46_1,"It is our hope that this guidebook will serve as a useful resource
for machine learning practitioners looking to take advantage of Bayesian
optimization techniques."
46,Bayesian Optimization for Machine Learning : A Practical Guidebook,46_2,"We outline four example machine learning problems that
can be solved using open source machine learning libraries, and highlight the
benefits of using Bayesian optimization in the context of these common machine
learning applications."
47,Towards A Rigorous Science of Interpretable Machine Learning,47_0,"As machine learning systems become ubiquitous, there has been a surge of
interest in interpretable machine learning: systems that provide explanation
for their outputs."
47,Towards A Rigorous Science of Interpretable Machine Learning,47_1,"These explanations are often used to qualitatively assess
other criteria such as safety or non-discrimination."
47,Towards A Rigorous Science of Interpretable Machine Learning,47_2,"However, despite the
interest in interpretability, there is very little consensus on what
interpretable machine learning is and how it should be measured."
47,Towards A Rigorous Science of Interpretable Machine Learning,47_3,"In this
position paper, we first define interpretability and describe when
interpretability is needed (and when it is not)."
47,Towards A Rigorous Science of Interpretable Machine Learning,47_4,"Next, we suggest a taxonomy
for rigorous evaluation and expose open questions towards a more rigorous
science of interpretable machine learning."
48,Solving machine learning optimization problems using quantum computers,48_0,"Classical optimization algorithms in machine learning often take a long time
to compute when applied to a multi-dimensional problem and require a huge
amount of CPU and GPU resource."
48,Solving machine learning optimization problems using quantum computers,48_1,"Quantum parallelism has a potential to speed up
machine learning algorithms. We describe a generic mathematical model to
leverage quantum parallelism to speed-up machine learning algorithms."
48,Solving machine learning optimization problems using quantum computers,48_2,"We also
apply quantum machine learning and quantum parallelism applied to a
$3$-dimensional image that vary with time."
49,Infrastructure for Usable Machine Learning: The Stanford DAWN Project,49_0,"Despite incredible recent advances in machine learning, building machine
learning applications remains prohibitively time-consuming and expensive for
all but the best-trained, best-funded engineering organizations."
49,Infrastructure for Usable Machine Learning: The Stanford DAWN Project,49_1,"This expense
comes not from a need for new and improved statistical models but instead from
a lack of systems and tools for supporting end-to-end machine learning
application development, from data preparation and labeling to
productionization and monitoring."
49,Infrastructure for Usable Machine Learning: The Stanford DAWN Project,49_2,"In this document, we outline opportunities
for infrastructure supporting usable, end-to-end machine learning applications
in the context of the nascent DAWN (Data Analytics for What's Next) project at
Stanford."
